path,variant,seed_label,log_index,loss,grad_norm,learning_rate,entropy,num_tokens,mean_token_accuracy,epoch
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,4,0.748,1.631,9.998e-05,0.5471,27560.0,0.8712,0.1218
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,5,0.7176,0.8733,9.99e-05,0.5977,34280.0,0.8813,0.1522
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,6,0.6336,1.048,9.977e-05,0.4936,41060.0,0.8815,0.1826
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,7,0.7231,0.7156,9.959e-05,0.4787,47880.0,0.8833,0.2131
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,8,0.6068,0.7205,9.935e-05,0.5557,54450.0,0.8895,0.2435
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,9,0.4335,0.9493,9.907e-05,0.3979,60970.0,0.9,0.274
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,10,0.5471,1.029,9.872e-05,0.4308,67450.0,0.894,0.3044
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,11,0.5579,0.9764,9.833e-05,0.4662,74060.0,0.8965,0.3349
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,12,0.5664,1.071,9.788e-05,0.4545,80590.0,0.9022,0.3653
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,13,0.4756,0.6109,9.738e-05,0.3884,87360.0,0.9089,0.3957
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,14,0.4612,1.08,9.683e-05,0.4071,94120.0,0.9087,0.4262
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,15,0.4164,0.6506,9.623e-05,0.3456,100700.0,0.9272,0.4566
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,16,0.5212,0.6967,9.558e-05,0.3813,107400.0,0.9025,0.4871
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,17,0.514,1.79,9.488e-05,0.4506,114200.0,0.8987,0.5175
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,18,0.3758,1.494,9.414e-05,0.3355,120800.0,0.9175,0.5479
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,19,0.4215,1.007,9.334e-05,0.3732,127600.0,0.9117,0.5784
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,20,0.4322,0.8309,9.25e-05,0.3492,134200.0,0.9055,0.6088
finetune/logs/run_20260805_150945/BC_facts_answers.train.log,BC_facts_answers,unsuffixed,21,0.3906,0.8294,9.161e-05,0.3366,140700.0,0.9143,0.6393
